,AAPL,ABC,ABEV,ACI,ACN,ADBE,ADI,ADM,ADP,ADSK,AMAT,AMD,AMZN,APH,ATVI,AVGO,BG,BTI,BYND,CAG,CASY,CCEP,CDNS,CHD,CL,CLX,CPB,CRM,CRWD,CSCO,CTSH,CTVA,CVS,DAR,DDOG,DEO,EA,EBAY,EL,FB,FIS,FISV,FLO,FMX,FRPT,FTNT,GIS,GO,GOOGL,GPN,HAIN,HLF,HPQ,HRL,HSY,IBM,IFF,INGR,INTC,INTU,K,KDP,KEYS,KHC,KLAC,KMB,KO,KR,LRCX,LW,MA,MCHP,MCK,MDLZ,MKC,MNST,MO,MRVL,MSFT,MSI,MU,NFLX,NOW,NVDA,NXPI,OLPX,ORCL,PANW,PAYX,PEP,PG,PM,POST,PPC,PYPL,QCOM,REYN,SAM,SEB,SHOP,SJM,SNAP,SNOW,SNPS,SPB,SQ,STZ,SYY,TAP,TEL,TSN,TWLO,TXN,UL,USFD,V,WBA,WDAY,XLNX,ZM
2021-11-23 00:00:00-05:00,161.42,123.64,3.05,35.26,360.72,665.77,182.46,66.75,236.04,303.76,148.92,149.95,3580.56,84.8,61.7404,555.13,94.29,34.9,74.5,31.535,200.54,53.35,181.44,94.13,77.92,168.78,41.52,291.41,230.56,55.3,80.77,47.9,93.62,74.14,179.43,207.89,128.42,71.64,349.7,337.26,108.7,96.11,26.97,74.25,107.73,327.42,63.44,29.01,2916.23,125.04,41.07,39.38,32.2,43.25,182.22,116.8,147.59,98.47,49.11,670.73,63.38,35.92,195.28,35.81,412.01,135.87,55.88,43.06,661.43,57.07,328.8,83.36,226.44,61.41,85.39,88.62,44.24,73.22,337.75,257.11,85.41,654.0,636.9,317.32,219.3,25.9,92.94,533.3754,125.47,165.25,149.43,89.65,103.74,28.57,188.05,180.98,30.3,460.27,3989.8,1573.06,133.67,50.66,343.81,344.7,105.98,210.57,236.97,76.5,47.73,160.78,83.24,275.25,192.64,52.25,34.68,198.48,47.39,274.31,220.25,206.57
2021-11-24 00:00:00-05:00,161.94,123.44,3.03,34.83,362.54,668.48,182.47,66.33,234.34,256.7,149.04,157.78,3579.08,84.32,60.9,558.84,92.84,34.6,75.55,31.6,197.27,52.52,183.46,93.39,77.76,168.13,41.37,289.25,230.94,55.55,80.76,47.58,92.67,73.26,180.34,207.36,126.64,72.67,349.25,341.01,109.9,99.33,27.03,73.79,109.13,333.38,63.31,28.96,2922.42,124.62,41.78,39.08,35.44,42.95,180.97,116.75,147.56,98.16,49.77,684.17,63.2,35.6,199.64,35.17,413.1,135.24,55.43,42.53,660.79,55.95,340.0,83.89,226.03,61.31,85.46,89.11,44.09,73.86,337.9,261.3,86.23,658.19,649.31,326.73,220.96,26.915,93.59,549.73,125.06,163.75,148.68,90.04,103.71,28.7272,188.66,180.67,30.31,464.31,3960.0,1630.35,132.34,49.68,355.36,349.36,104.83,215.6499,232.5,76.34,47.26,160.35,83.25,283.67,193.6,52.1,34.77,203.23,46.62,278.0,230.13,208.35
2021-11-26 00:00:00-05:00,156.88,120.23,2.94,35.76,353.74,662.53,178.13,64.4,229.62,254.18,143.27,154.89,3505.39,81.64,60.61,546.64,90.45,34.27,76.88,31.61,194.85,50.71,178.34,93.39,77.07,174.05,41.51,284.35,232.64,54.7,78.48,46.83,91.5,71.28,181.15,202.1,126.0,72.54,334.42,333.47,108.01,98.32,26.51,72.25,107.86,327.39,62.83,28.56,2844.62,122.981,41.6,38.78,34.58,42.83,178.09,115.87,144.61,96.61,48.82,667.1,63.66,34.98,191.38,34.85,399.14,135.3,53.77,43.17,641.98,52.8,324.66,80.1,221.99,60.26,85.56,87.05,43.74,72.07,329.79,253.59,83.43,665.6,650.57,315.205,212.45,26.41,92.42,534.23,122.44,161.19,147.49,88.7,102.23,28.27,187.79,175.79,30.3,455.25,3906.65,1578.36,131.02,49.8,362.36,342.25,102.55,212.24,229.64,72.74,45.63,156.02,81.34,290.77,188.23,52.5,33.0,197.65,45.93,277.57,223.95,220.23
2021-11-29 00:00:00-05:00,160.23,120.23,2.89,35.45,365.62,687.49,183.2,64.79,235.95,261.15,151.22,161.9,3560.68,82.89,60.31,564.05,90.53,34.31,74.62,31.51,197.26,51.86,186.69,93.73,77.7,169.18,41.19,296.66,224.51,55.75,79.72,46.58,92.03,70.83,182.99,204.99,124.88,70.53,340.0,338.02,105.39,97.47,26.4,71.54,108.67,343.1,63.52,28.93,2910.41,120.26,40.84,38.81,35.92,42.49,179.15,118.4999,147.19,97.68,50.0,694.65,63.88,35.17,197.64,34.78,413.63,135.04,54.57,42.34,680.54,53.25,322.62,84.38,223.32,60.63,86.99,86.83,43.47,75.04,336.55,259.49,86.14,663.68,672.5,333.76,223.94,26.755,92.96,551.47,123.71,164.14,148.99,87.36,100.6,28.28,187.16,183.73,30.11,442.35,3950.01,1565.51,129.39,48.83,364.89,355.87,102.1,212.81,226.92,73.15,45.33,159.26,81.85,293.01,194.38,52.78,32.72,196.29,46.1,281.59,232.95,218.98
2021-11-30 00:00:00-05:00,165.43,115.755,2.815,35.16,357.44,668.48,180.15,62.21,231.17,254.1,147.19,158.5301,3507.52,80.54,58.57,553.48,86.55,33.65,70.26,30.55,194.35,49.35,177.33,89.36,75.02,162.85,40.33,285.39,216.79,54.87,78.01,45.0,89.08,67.51,178.79,203.17,124.17,67.52,332.28,324.19,104.52,96.68,25.82,70.89,108.03,331.98,61.77,28.95,2837.95,119.14,39.39,37.385,35.26,41.41,177.47,117.14,142.36,93.16,49.19,652.34,61.18,33.98,194.48,33.61,407.89,130.32,52.45,41.56,679.85,51.94,314.91,83.43,216.72,58.94,85.81,83.74,42.64,71.09,330.58,253.13,83.96,641.77,647.51,327.1,223.35,26.95,90.74,546.67,119.2,159.77,144.59,85.94,96.6,28.09,184.89,180.57,29.18,451.25,3920.0,1520.04,126.44,47.66,339.79,341.0,100.19,208.38,225.37,70.04,44.42,153.89,78.96,286.15,192.29,50.84,31.42,193.8,44.8,274.19,228.0,211.41
2021-12-01 00:00:00-05:00,164.67,114.04,2.755,34.27,360.14,656.45,180.81,61.82,226.86,249.52,151.68,149.0001,3443.7,79.97,57.28,554.53,84.45,33.725,66.22,30.46,190.59,49.35,175.19,90.67,75.42,165.74,39.89,251.4978,201.5,55.0,76.85,44.67,88.79,65.03,164.28,200.76,120.25,66.81,325.37,310.57,102.34,95.58,25.63,70.17,105.01,305.25,61.42,27.62,2818.57,117.86,38.4,37.37,36.46,42.06,175.44,116.92,141.5,92.99,48.59,664.02,61.04,33.57,193.65,32.87,412.16,131.78,52.3,40.24,693.53,50.23,306.19,84.42,215.36,58.56,86.52,81.02,42.99,70.83,329.98,245.75,85.12,617.76,599.36,313.97,223.06,26.0,89.7,528.16,117.829,160.135,146.37,86.87,94.85,27.71,179.21,175.63,29.26,438.25,3849.95,1460.31,126.45,47.25,310.5599,334.1,99.53,194.53,223.2,68.07,43.99,152.68,78.26,259.53,191.76,50.6,30.11,190.11,43.72,260.91,219.13,197.8
2021-12-02 00:00:00-05:00,163.79,115.86,2.802,35.99,365.6,671.92,180.65,62.43,232.45,257.65,146.49,150.68,3437.36,81.47,57.28,552.45,86.06,33.99,67.37,30.99,196.3,52.05,184.68,91.07,75.49,166.47,40.52,261.5,209.35,56.16,79.43,46.2,89.99,66.65,169.46,205.13,122.68,67.52,334.75,310.38,105.72,99.83,25.47,70.97,107.07,313.08,62.87,27.68,2858.32,121.8,39.06,37.6,37.66,41.97,176.63,116.9,140.5,94.15,49.52,671.75,61.93,34.15,198.48,33.24,402.51,132.78,53.09,44.62,661.58,53.07,320.345,84.24,220.6,59.46,87.02,82.97,43.22,71.02,329.49,252.54,82.88,615.78,623.46,321.11,222.72,25.64,90.0,535.47,120.65,160.62,147.25,87.9,98.31,28.06,187.2,177.03,29.41,460.88,3774.51,1446.18,127.89,47.85,360.05,349.73,101.14,192.2,225.29,70.19,45.38,157.63,80.82,267.115,193.6,51.43,31.42,198.3,44.63,266.66,218.765,191.57
2021-12-03 00:00:00-05:00,161.85,116.75,2.81,35.69,361.42,616.62,180.89,62.53,230.06,259.16,145.9,144.03,3390.26,81.66,57.36,558.47,86.62,34.43,64.62,31.37,195.72,53.12,177.94,92.32,76.77,168.21,41.13,258.31,197.15,56.24,78.52,46.05,90.88,64.67,164.19,204.81,125.28,67.04,335.3,306.82,103.31,100.51,25.73,71.02,102.14,302.82,64.24,27.12,2840.04,120.23,39.06,37.52,37.55,42.74,179.6,118.81,140.77,94.12,49.28,648.39,63.0,34.47,199.3,33.64,400.785,135.39,53.55,43.4501,661.75,53.98,322.12,85.31,218.61,60.28,88.55,83.7,43.925,83.59,323.15,248.12,81.65,602.35,613.12,307.06,227.15,25.325,88.25,520.87,119.86,164.71,149.88,89.38,97.37,28.0,183.93,176.534,29.65,460.17,3775.67,1410.98,128.77,46.78,345.32,344.79,98.99,181.19,226.18,69.99,45.75,155.99,82.61,247.99,193.411,51.3,31.22,196.22,46.56,267.26,217.07,183.92
2021-12-06 00:00:00-05:00,165.29,118.89,2.82,36.76,362.48,621.64,181.03,63.11,232.14,265.48,147.37,138.99,3427.98,82.75,58.075,564.76,86.56,34.87,67.35,31.77,201.92,54.1,177.2,94.17,78.59,168.78,41.3,258.8,194.59,56.97,80.71,47.11,92.64,65.86,161.42,209.46,126.25,66.05,341.59,317.87,107.01,103.11,25.69,70.56,102.55,292.01,64.45,28.0,2862.75,127.03,38.91,38.81,36.9308,43.05,180.7,119.95,143.05,96.75,50.99,645.34,63.59,34.79,195.16,34.26,399.57,136.46,54.92,45.13,667.18,54.82,333.51,83.94,223.99,61.42,90.1,85.71,44.43,85.43,326.47,250.68,82.44,612.59,616.16,300.33,224.28,25.07,88.94,500.81,121.91,166.42,152.17,91.44,100.02,27.95,184.81,175.42,30.08,492.27,3817.68,1429.0219,131.0,47.91,341.36,345.34,99.97,179.53,230.89,72.99,46.86,157.73,83.49,251.18,194.65,52.63,33.18,202.74,48.3,269.09,213.26,185.84
2021-12-07 00:00:00-05:00,171.21,119.54,2.86,35.81,371.34,650.49,186.67,64.17,235.19,276.81,156.92,144.88,3523.83,83.86,58.81,590.8,87.79,35.15,71.25,31.8,201.4,54.84,182.83,92.95,77.81,165.26,41.13,267.09,204.32,58.08,81.49,47.76,92.95,67.1,177.165,212.75,126.15,67.23,353.6,322.93,106.94,103.18,25.9,71.5,105.47,317.34,64.57,27.36,2945.79,129.78,38.7,38.8,37.29,42.43,182.02,121.61,145.19,96.91,52.57,673.78,63.08,34.92,202.43,34.52,419.36,136.9,55.21,45.07,706.46,56.43,339.52,88.93,224.62,61.42,87.8394,88.38,44.47,91.61,334.93,254.98,85.84,625.58,663.38,324.49,239.0,26.7,90.05,523.42,123.11,166.23,151.77,90.45,102.0,27.89,191.1,183.83,29.59,497.06,3884.98,1522.464,130.25,50.4001,363.21,356.4,99.07,189.52,233.815,72.92,46.69,159.28,83.97,265.21,199.03,52.35,33.97,207.44,48.26,280.35,224.05,189.09
2021-12-08 00:00:00-05:00,175.01,120.87,2.87,31.84,374.53,653.39,186.27,64.12,234.41,276.31,157.3,145.24,3521.58,83.54,59.27,588.86,86.98,35.57,74.13,31.72,187.51,53.77,184.2,95.01,77.76,167.73,41.84,266.25,209.18,57.02,81.21,48.11,93.1,67.68,183.16,211.91,126.38,67.155,355.96,330.51,108.34,103.95,26.0,71.39,108.42,322.54,64.22,27.58,2963.83,130.12,38.36,38.1,36.715,42.79,183.21,122.99,148.21,97.2,51.76,673.06,62.0,34.81,202.1,33.15,421.28,136.89,54.99,42.81,713.83,57.06,342.34,87.34,226.78,60.85,88.64,88.93,44.51,91.29,334.96,253.68,86.02,627.94,665.45,318.26,228.08,26.42,88.94,530.32,123.04,166.51,152.37,89.89,101.97,28.04,197.37,182.68,29.795,503.02,3899.99,1521.0,129.89,53.43,370.25,364.59,99.9,194.71,234.62,73.51,46.11,158.87,83.53,274.91,196.36,53.0,34.07,209.2,48.49,282.31,224.65,195.13
2021-12-09 00:00:00-05:00,174.62,121.71,2.79,30.5,371.47,632.69,183.655,63.29,232.68,267.66,152.64,138.08,3483.15,83.135,59.07,583.48,85.48,35.64,70.1,31.87,181.89,52.98,179.62,95.56,78.0,166.91,42.18,264.23,201.23,57.56,80.99,48.03,97.3,65.2,175.22,208.07,125.0,66.59,355.83,329.82,105.0,103.53,25.74,71.02,103.85,316.42,63.97,27.51,2952.77,127.45,38.99,37.32,36.15,44.82,183.49,123.58,147.48,96.35,50.48,665.49,62.02,34.6,200.58,33.46,409.18,135.59,54.85,43.67,699.31,56.71,344.43,86.63,230.77,60.98,88.72,88.29,44.59,90.03,333.08,259.28,84.93,610.99,642.18,304.79,225.09,26.94,88.74,527.52,122.25,166.32,153.37,89.49,100.75,28.15,191.75,182.27,29.53,508.02,3887.81,1495.2898,130.65,52.36,361.37,354.41,97.85,186.62,233.5,73.87,45.57,157.21,83.76,268.3,193.39,52.9,32.955,211.36,49.18,279.35,215.02,188.26
2021-12-10 00:00:00-05:00,179.5,123.15,2.81,30.74,379.36,654.76,183.46,63.43,236.72,268.99,152.79,138.55,3444.99,84.27,58.6,632.09,86.9,36.72,64.51,32.09,187.75,53.47,184.23,95.65,79.475,168.52,43.14,265.97,198.62,59.25,82.11,47.95,98.86,63.31,174.65,209.94,125.63,66.88,361.39,329.73,104.46,103.19,25.92,70.99,104.27,332.63,64.77,27.87,2959.97,125.81,38.995,37.37,36.43,46.01,186.51,124.1,147.12,96.36,50.59,678.02,62.62,35.32,201.89,34.15,410.72,136.08,56.27,44.61,706.0,57.05,349.91,87.16,233.12,62.26,90.51,89.57,45.09,89.08,342.23,264.95,85.54,611.67,647.26,302.02,226.42,27.52,102.63,531.95,124.25,168.96,155.46,90.05,102.11,28.09,188.47,183.93,29.72,511.66,3841.38,1460.06,132.88,50.82,370.84,362.36,97.57,181.19,235.33,73.68,46.24,160.36,84.11,264.43,196.01,53.24,32.7,213.38,49.5,279.71,217.27,185.25
2021-12-13 00:00:00-05:00,175.825,122.7,2.8,31.34,378.88,660.54,178.5,64.83,235.0,269.04,147.04,133.74,3391.22,83.77,58.745,623.79,87.83,36.505,63.08,32.54,191.605,53.27,184.52,97.88,81.13,172.06,43.72,265.83,198.74,58.615,82.19,46.655,98.9,63.42,172.03,209.12,126.82,66.735,360.44,334.54,104.76,104.37,26.35,69.92,102.965,332.29,66.05,28.125,2920.64,127.0,40.54,37.5,35.265,47.28,188.7,122.6801,146.5,94.67,50.0,670.69,63.49,35.395,204.07,34.523,400.83,139.25,57.865,45.575,686.92,56.75,345.48,85.21,231.59,63.445,93.1,90.13,45.385,87.35,339.44,264.58,84.43,604.56,658.215,281.5,222.39,26.16,100.89,537.8175,124.4,169.85,157.7768,91.96,102.55,28.095,186.97,183.32,30.0,534.54,3866.0,1398.0,134.51,48.12,354.885,363.37,96.58,175.71,237.44,73.5,46.03,158.575,85.25,260.19,194.37,53.125,31.83,211.1,49.15,281.66,209.7,184.83
2021-12-14 00:00:00-05:00,174.34,123.31,2.83,30.26,369.78,614.88,176.28,64.86,229.72,263.23,147.75,135.61,3381.84,82.48,59.53,614.98,87.05,35.96,69.31,32.5,190.91,53.44,176.18,97.91,82.13,172.72,43.08,255.65,198.71,57.77,81.89,46.31,98.81,63.73,161.0,208.41,126.95,65.85,356.83,333.79,106.84,104.23,26.37,72.11,99.72,316.08,65.95,28.41,2878.12,128.29,40.92,37.52,35.6,47.89,187.68,123.78,145.68,95.37,49.74,639.48,63.37,35.07,198.07,34.79,399.7,138.1,57.83,45.58,679.35,56.9,340.47,84.92,229.54,63.4,91.58,90.39,45.42,85.3,328.48,259.54,83.33,598.29,624.37,283.42,219.97,26.19,99.9,512.48,122.48,169.39,158.28,92.02,101.815,28.21,186.8,182.01,29.99,518.5,3801.75,1354.64,135.22,46.85,350.71,345.95,95.76,170.65,236.82,73.53,45.88,157.07,85.79,255.71,190.38,53.03,31.79,209.99,49.355,273.3,209.84,181.89
2021-12-15 00:00:00-05:00,179.3,123.76,2.8,30.18,375.34,630.6,179.43,65.08,233.91,271.73,153.66,146.53,3466.93,84.36,60.26,639.86,87.78,35.88,66.86,32.92,191.33,53.54,184.28,99.13,82.76,176.15,43.49,259.82,210.74,59.96,82.91,46.09,100.53,62.89,170.9075,209.99,128.9,65.6,365.27,341.65,106.82,103.66,26.71,73.05,98.05,336.45,67.34,28.47,2929.55,128.09,41.73,38.4,36.26,48.61,189.77,123.11,145.0,95.68,50.67,647.57,63.5,35.65,203.93,34.88,410.01,138.28,58.055,46.22,697.94,57.21,346.34,88.0,232.21,64.8,92.21,91.2,45.95,88.42,334.66,262.57,85.67,604.87,646.99,304.82,229.13,26.97,103.63,540.1025,125.31,171.57,158.86,92.73,103.02,28.3,190.67,189.41,30.64,524.58,3749.0,1366.26,134.73,46.42,359.99,361.31,97.07,173.8,241.07,74.56,44.91,160.72,85.91,261.46,193.44,52.7,32.61,212.25,49.66,279.27,217.89,183.72
2021-12-16 00:00:00-05:00,172.25,123.91,2.795,30.61,399.95,565.94,172.52,66.17,231.85,269.61,146.69,138.64,3375.94,83.54,61.48,620.64,88.28,37.09,66.15,34.4,190.01,53.69,179.62,101.53,83.94,178.11,44.17,253.28,200.4,60.31,84.7,46.97,101.18,63.34,164.06,210.29,129.34,64.04,362.73,334.88,108.45,104.82,27.24,73.9,95.43,322.99,68.86,28.6,2890.81,126.84,41.57,38.68,36.69,49.18,192.09,125.93,145.92,96.6,50.83,634.0,65.77,35.7,198.52,36.0,397.08,141.81,58.64,45.9,671.63,57.22,352.9,84.53,232.38,65.67,94.65,91.61,47.34,83.61,324.9,261.68,82.7,590.76,609.38,283.85,217.85,25.32,103.16,523.52,124.71,171.84,161.08,94.36,104.43,28.09,188.74,178.14,31.07,510.84,3753.24,1326.82,138.88,44.63,324.89,352.9,97.6,165.85,241.53,74.0,45.0,160.04,86.19,260.82,188.31,53.29,31.95,214.31,49.26,272.31,199.77,182.35
2021-12-17 00:00:00-05:00,170.86,125.2,2.81,30.83,396.61,556.61,169.96,65.28,229.32,277.66,146.21,137.76,3400.34,82.48,61.36,635.05,88.07,37.36,69.1,34.58,192.98,53.56,178.98,98.1,82.48,174.2,43.1,252.96,205.1,60.52,84.78,46.07,100.33,64.54,170.06,210.89,127.45,64.0,345.92,334.05,108.01,103.64,27.07,76.31,92.295,334.17,67.65,28.77,2833.53,128.11,41.48,39.92,36.57,48.18,187.63,127.39,144.41,95.32,50.58,620.22,64.46,35.7,197.01,35.5,391.55,139.39,57.98,44.7841,668.72,58.09,349.3,84.18,232.98,64.94,94.07,91.49,48.25,83.75,323.65,259.02,83.0,585.86,618.47,277.87,218.4578,23.95,96.61,531.07,123.85,168.18,157.51,93.44,105.98,27.86,186.1,176.79,30.2,531.31,3865.0,1323.76,136.4,45.27,332.2,347.93,96.45,167.06,241.99,72.11,44.74,156.4,85.42,273.8,186.13,52.69,31.631,211.83,48.84,273.76,199.99,199.74
2021-12-20 00:00:00-05:00,169.88,126.06,2.67,30.0,385.91,549.96,168.35,64.22,229.4,275.38,145.04,135.84,3341.96,81.17,61.82,645.23,85.85,37.351,65.27,34.32,191.58,52.08,177.39,98.85,82.52,176.62,43.23,247.32,206.3,60.36,82.92,44.77,100.32,61.91,164.39,211.79,129.97,63.79,345.48,325.62,104.69,100.57,27.06,76.14,90.83,330.91,67.8,28.75,2832.34,123.66,41.305,39.61,36.14,48.48,187.86,127.06,142.32,93.64,49.6,605.1,64.35,35.485,194.24,35.27,385.38,141.33,57.55,45.51,661.21,59.04,337.29,82.61,234.45,64.79,93.91,91.66,48.12,84.16,320.17,255.9,82.07,593.96,605.59,277.16,217.75,25.05,91.66,530.34,123.79,169.45,157.86,92.9,104.62,27.61,182.73,176.74,30.32,537.85,3832.0,1283.1227,135.05,44.4,331.04,346.46,95.27,158.3,239.48,71.22,43.4,153.08,84.85,268.56,184.24,52.53,31.35,208.73,48.84,269.7,196.26,197.97
2021-12-21 00:00:00-05:00,172.98,127.65,2.66,29.85,392.97,557.51,172.08,64.83,231.89,280.34,151.41,144.2698,3407.74,83.05,63.59,646.2,88.31,37.5652,70.24,33.83,191.92,53.33,182.93,98.41,82.09,171.19,42.32,252.48,210.3,61.04,85.21,45.83,100.8,63.85,177.49,214.1,132.17,63.7,352.78,334.25,109.92,105.2,27.065,75.22,97.2,339.19,65.07,28.5,2869.04,131.84,41.43,40.24,37.03,47.51,187.39,128.98,142.69,95.6,50.76,621.07,62.64,35.31,197.56,35.0,409.4,139.32,57.77,43.88,683.26,61.21,350.83,85.32,236.09,64.32,93.05,92.79,47.78,86.285,327.37,261.6,90.685,604.7,631.78,290.86,224.38,24.92,91.52,537.64,126.44,168.9,157.76,93.05,105.74,27.81,189.16,179.59,30.36,527.07,3872.8,1371.21,131.92,46.12,354.81,359.29,98.12,170.4,241.36,74.5,44.54,156.79,85.25,277.12,186.36,52.28,32.96,215.46,49.94,278.79,206.44,199.39
